Criteria,AutoACMG Kappa,Intervar Kappa,Genebe Kappa
PVS1,0.9059419881723458,0.23490212411495204,0.9529709940861729
PS1,0.34816549570647926,0.0,0.7080419580419581
PM1,-0.005815160955348064,0.32813678652250433,0.6100233518950962
PM2,-0.3840759368137707,0.5030122668215142,0.5405444540978859
PM4,1.0,0.0,0.660569105691057
PM5,0.6311549954527738,0.10098385000928167,0.6754315765405281
PP2,0.0,-0.06556655665566558,0.8062817881681092
PP3,0.28326180257510725,0.5914587264975187,0.7549882629107981
BA1,0.0,0.10098385000928167,0.7562636828022379
BS1,-0.011178388448998433,-0.06099110546378639,0.5831253120319521
BS2,-0.011588095865156633,0.10199479618386809,0.49288796547866387
BP1,0.0,0.34232050893668586,0.9267543859649123
BP3,0.7970838396111786,0.0,0.0
BP4,-0.20113023375288974,0.6171480972031178,0.9327245870820464
BP7,0.7277469840234757,0.7874158937988726,0.9129150008691118
