Criteria,AutoACMG Kappa,Intervar Kappa,Genebe Kappa
PVS1,0.9762036524626453,0.25605536332179923,0.9753581661891118
PS1,0.6980942828485457,0.0,0.9029345372460497
PM1,0.5804878048780487,0.28900071890726087,0.9422043010752688
PM2,0.19073470865001807,0.37180423666910145,0.950836072602544
PM4,1.0,0.0,1.0
PM5,0.80807855389422,0.09442934782608703,0.9633496697208609
PP2,-0.011521843494959105,-0.06284038542103065,0.9707283866575902
PP3,0.7973946784922394,0.6239067055393586,1.0
BA1,0.2680851063829788,0.08231707317073167,0.9488501189532117
BS1,0.31474103585657365,-0.08403361344537807,0.8870402802101576
BS2,0.38888888888888884,0.08687258687258681,0.974435196195006
BP1,-0.12074933822032174,0.32321528948847666,1.0
BP3,1.0,0.0,1.0
BP4,0.41028571428571425,0.6082004555808656,1.0
BP7,0.26637314254265265,0.7831021437578815,1.0
